14611	0	14967
4783	1	14968
6238	1	14969
7608	1	14970
13831	1	14971
223	0	14972
7221	1	14973
7703	1	14974
8316	1	14975
494	0	14976
1287	1	14977
2142	1	14978
6779	1	14979
8247	1	14980
14307	1	14981
2237	1	14982
12138	1	14983
13717	1	14984
10315	1	14985
8961	1	14986
4966	1	14987
8292	1	14983
2830	1	14988
10018	1	14989
3584	0	14990
11070	0	14991
1887	1	14992
12136	1	14993
6241	0	14994
11767	1	14995
9219	2	14996
8366	1	14997
11275	1	14983
11165	1	14998
686	1	14983
12059	0	14999
14679	1	15000
450	0	15001
12910	1	15002
7074	1	15003
2438	0	15004
1749	1	15005
1056	1	15006
14452	1	15007
2793	1	15008
4495	1	15009
8205	0	15010
8804	1	15011
3346	1	15012
14989	3	15013
9167	4	15014
8918	0	15015
11401	0	15016
4432	4	15017
9224	0	15018
13149	1	15019
3465	1	15020
5071	1	15021
3334	1	15022
14208	1	15023
14412	1	15024
13412	0	15025
2544	1	15026
2922	1	15027
11390	1	15028
4218	1	15029
10879	1	15030
5872	1	15031
5560	1	15032
8155	1	15033
14987	3	15034
4001	1	15035
14907	0	15036
8798	1	15037
9245	0	15038
10573	1	15039
5779	0	15040
9788	0	15041
9250	1	15042
4336	1	15043
13698	1	15044
12353	1	15045
6594	2	15046
11952	1	15047
5627	1	15048
4929	1	15049
3376	1	15050
12654	1	15051
9320	0	15052
5499	1	15053
2993	1	15054
12107	1	15055
10798	0	15015
631	1	15056
5687	1	15057
2667	0	15058
1937	2	15059
11683	0	15060
550	1	15061
11782	1	15062
5952	1	15063
1667	1	15064
11263	0	15065
14156	0	15066
4869	0	15067
8637	1	15068
11324	1	15069
6230	1	15070
10925	0	14999
15022	3	15071
4216	0	15072
12288	1	15073
3123	1	15074
3392	1	15075
3986	1	15076
2936	0	15077
13077	1	15078
8740	1	15079
14596	0	15015
728	0	15080
12660	1	15081
10780	0	15082
1626	1	15083
8311	1	15084
8510	1	15085
3396	0	15038
974	1	15086
1838	1	15087
14832	0	15088
3477	0	15089
2571	1	15090
12408	1	15091
5563	1	15092
15032	3	15093
13806	1	15094
9473	1	15095
8498	1	15096
15042	3	15097
2090	1	15098
2990	1	15099
3397	1	15100
6979	1	15101
15068	3	15102
8062	1	15103
10812	0	15104
15092	3	15105
1322	1	15106
13343	1	15107
12362	1	15108
15050	3	15109
3472	0	15018
15057	3	6564
14122	1	15110
10197	1	15111
11129	1	15112
5827	1	15113
14736	1	15114
1079	4	15115
12014	1	15116
666	1	15117
2643	1	15118
4555	1	15119
2007	1	15120
1946	0	15121
13760	0	15067
14643	1	15122
5191	0	15038
9807	1	15123
7942	1	15124
10584	1	15125
13615	1	15126
5990	1	15127
3716	1	15128
14484	0	15060
2738	1	15129
13614	1	15130
73	1	15131
11894	1	15075
4239	0	15132
11464	1	15133
10606	1	15134
7118	1	15135
2303	0	15136
5576	1	15137
2209	1	15138
6727	1	15139
13102	1	15140
11735	2	15141
15032	3	15142
584	1	15143
2079	0	14994
15129	3	15144
1759	1	15145
2176	1	15146
4474	1	15147
2693	4	15148
11012	1	15149
7616	0	15150
8184	0	15151
15055	3	12107
12045	1	15152
4822	1	15153
8858	1	15154
3841	1	15155
12916	1	15156
6610	1	15157
4785	1	15158
3775	1	15159
7833	4	15160
12981	1	15161
3521	4	15162
3348	0	15060
7665	1	15163
12384	2	15164
6250	0	15165
2698	4	15166
10027	1	15167
14983	3	15168
7750	1	15169
1642	1	15170
7152	4	15171
6749	1	15172
5789	0	15173
13146	1	15174
29	0	15175
2568	1	15176
419	1	15107
14978	3	15177
9616	1	15178
951	1	15179
11586	0	15180
15170	3	15181
5790	1	15182
7864	1	15183
11575	1	15184
9174	1	15131
10627	1	15185
11378	1	15186
10084	1	15187
15050	3	15188
3363	1	15189
11697	1	15190
3232	1	15191
7466	1	15192
13505	4	15193
9248	1	15194
11922	1	15195
15120	3	15196
519	4	15162
116	1	15197
13080	1	15198
15172	3	15199
7385	0	15200
9340	1	15201
7499	1	15202
11768	0	15041
2925	1	15203
3859	1	15204
4505	1	15205
5569	1	15206
1117	0	15136
3083	0	15207
6878	1	15208
15110	3	15209
15085	3	15210
12405	1	15211
7490	1	15212
3381	1	15213
15074	3	15214
7457	1	15215
6679	1	15216
15194	3	15217
15167	3	15218
15172	3	15219
361	0	15220
10251	1	15221
9698	1	15222
15185	3	15223
6453	4	15224
6084	0	15225
10191	1	15226
8956	1	15227
1849	4	15148
15046	5	15228
1473	1	15229
673	1	15230
10232	1	15231
5809	1	15232
13512	0	15233
15128	3	15234
5989	1	15235
1140	1	15236
8470	1	15237
11218	0	14994
12531	1	15238
7626	1	15239
3534	1	15240
14073	1	15241
1720	1	15242
2787	0	15040
13514	1	15243
4615	1	15244
15156	3	12916
13486	0	15173
745	0	15245
7592	1	15246
10723	1	15247
4738	1	15248
14878	1	15249
5793	0	15250
5645	1	15251
5268	1	15252
1856	1	15253
14733	1	15139
12230	1	15254
15049	3	4929
6814	1	15255
15037	3	15256
13694	1	15257
7041	1	15258
797	1	15259
15230	3	15260
4052	1	15261
15246	3	6502
8397	1	15262
9888	1	15263
1829	1	14974
6504	1	15003
15092	3	15264
7232	1	15265
11106	1	15266
12439	1	15267
14983	3	10932
10005	1	15268
9071	1	15269
2697	1	15270
13561	1	15271
12907	1	15272
3125	1	15273
14120	1	15274
11679	1	15275
9647	1	15276
7161	1	15277
4400	0	15278
12020	1	15279
692	2	15280
13940	1	15032
14303	1	15281
1592	1	15282
12519	0	15010
8877	4	15224
6046	1	15283
12613	0	15284
7748	1	15285
7058	2	15286
15170	3	4275
11675	1	15287
1671	1	15288
14590	1	15289
6337	1	15290
12871	1	15291
10849	1	15292
45	0	15293
3820	4	15294
5716	1	15295
15075	3	15296
1188	1	15297
